threshold,accuracy,precision,malignant_recall,f1_score,benign_recall,balanced_accuracy,tn,fp,fn,tp
0.1,0.759,0.7552083333333334,0.9917920656634747,0.8574807806031933,0.12639405204460966,0.5590930588540421,34,235,6,725
0.11,0.758,0.7565582371458552,0.9863201094391245,0.8562945368171021,0.137546468401487,0.5619332889203057,37,232,10,721
0.12,0.761,0.759493670886076,0.9849521203830369,0.8576533650982728,0.1524163568773234,0.5686842386301801,41,228,11,720
0.13,0.764,0.7624602332979852,0.9835841313269493,0.8590203106332138,0.16728624535315986,0.5754351883400546,45,224,12,719
0.13999999999999999,0.766,0.7663451232583065,0.9781121751025992,0.859375,0.1895910780669145,0.5838516265847569,51,218,16,715
0.14999999999999997,0.765,0.7666666666666667,0.9753761969904241,0.8585189644792294,0.19330855018587362,0.5843423735881489,52,217,18,713
0.15999999999999998,0.77,0.7725788900979326,0.9712722298221614,0.8606060606060606,0.22304832713754646,0.597160278479854,60,209,21,710
0.16999999999999998,0.77,0.7737704918032787,0.9685362517099864,0.8602673147023087,0.23048327137546468,0.5995097615427255,62,207,23,708
0.17999999999999997,0.77,0.7761852260198456,0.9630642954856361,0.8595848595848596,0.24535315985130113,0.6042087276684687,66,203,27,704
0.18999999999999995,0.772,0.7803790412486065,0.957592339261286,0.85995085995086,0.26765799256505574,0.6126251659131708,72,197,31,700
0.19999999999999996,0.776,0.7857948139797069,0.9534883720930233,0.861557478368356,0.2936802973977695,0.6235843347453964,79,190,34,697
0.20999999999999996,0.776,0.7877412031782066,0.9493844049247606,0.8610421836228288,0.3048327137546468,0.6271085593397037,82,187,37,694
0.21999999999999995,0.774,0.7879133409350056,0.945280437756498,0.8594527363184079,0.30855018587360594,0.6269153118150519,83,186,40,691
0.22999999999999995,0.776,0.7910447761194029,0.9425444596443229,0.8601747815230961,0.32342007434944237,0.6329822669968826,87,182,42,689
0.23999999999999994,0.779,0.7951388888888888,0.9398084815321477,0.8614420062695924,0.3420074349442379,0.6409079582381928,92,177,44,687
0.24999999999999992,0.776,0.7971864009378663,0.9302325581395349,0.8585858585858586,0.35687732342007433,0.6435549407798046,96,173,51,680
0.2599999999999999,0.778,0.8004722550177096,0.9274965800273598,0.8593155893536122,0.37174721189591076,0.6496218959616353,100,169,53,678
0.2699999999999999,0.776,0.8021454112038141,0.920656634746922,0.8573248407643312,0.3828996282527881,0.6517781314998551,103,166,58,673
0.2799999999999999,0.781,0.8076923076923077,0.9192886456908345,0.8598848368522073,0.4052044609665427,0.6622465533286885,109,160,59,672
0.2899999999999999,0.776,0.8087697929354446,0.908344733242134,0.8556701030927835,0.4163568773234201,0.6623508052827771,112,157,67,664
0.29999999999999993,0.775,0.8123456790123457,0.9001367989056087,0.853990914990266,0.4349442379182156,0.6675405184119122,117,152,73,658
0.30999999999999994,0.772,0.813200498132005,0.893296853625171,0.8513689700130378,0.4423791821561338,0.6678380178906524,119,150,78,653
0.3199999999999999,0.773,0.8181818181818182,0.8864569083447332,0.8509520682862771,0.4646840148698885,0.6755704616073108,125,144,83,648
0.32999999999999985,0.769,0.8180661577608143,0.8796169630642955,0.8477257745550428,0.4684014869888476,0.6740092250265716,126,143,88,643
0.33999999999999986,0.767,0.8192307692307692,0.8741450068399452,0.8457974851091992,0.4758364312267658,0.6749907190333555,128,141,92,639
0.34999999999999987,0.761,0.8194805194805195,0.8632010943912448,0.8407728181212525,0.483271375464684,0.6732362349279644,130,139,100,631
0.3599999999999999,0.758,0.823841059602649,0.8508891928864569,0.8371467025572006,0.5055762081784386,0.6782327005324478,136,133,109,622
0.3699999999999999,0.758,0.8264352469959947,0.8467852257181943,0.8364864864864865,0.516728624535316,0.6817569251267551,139,130,112,619
0.3799999999999999,0.757,0.8306233062330624,0.8385772913816689,0.8345813478556842,0.5353159851301115,0.6869466382558902,144,125,118,613
0.3899999999999999,0.753,0.8306010928961749,0.8317373461012312,0.8311688311688312,0.5390334572490706,0.6853854016751508,145,124,123,608
0.3999999999999998,0.746,0.8307905686546463,0.8194254445964432,0.8250688705234159,0.5464684014869888,0.682946923041716,147,122,132,599
0.4099999999999998,0.746,0.8392603129445235,0.8071135430916553,0.8228730822873083,0.5799256505576208,0.693519596824638,156,113,141,590
0.4199999999999998,0.742,0.8422575976845152,0.7961696306429549,0.8185654008438819,0.5947955390334573,0.695482584838206,160,109,149,582
0.4299999999999998,0.736,0.8418740849194729,0.786593707250342,0.8132956152758133,0.5985130111524164,0.6925533592013792,161,108,156,575
0.43999999999999984,0.733,0.8452380952380952,0.7770177838577291,0.8096935138987883,0.6133828996282528,0.695200341742991,165,104,163,568
0.44999999999999984,0.725,0.8444108761329305,0.7647058823529411,0.8025843503230438,0.6171003717472119,0.6909031270500765,166,103,172,559
0.45999999999999985,0.721,0.8466257668711656,0.7551299589603283,0.7982646420824295,0.6282527881040892,0.6916913735322088,169,100,179,552
0.46999999999999986,0.716,0.8486739469578783,0.7441860465116279,0.793002915451895,0.6394052044609665,0.6917956254862971,172,97,187,544
0.47999999999999976,0.71,0.8505564387917329,0.7318741450068399,0.7867647058823529,0.6505576208178439,0.6912158829123418,175,94,196,535
0.48999999999999977,0.707,0.8543689320388349,0.7222982216142271,0.7828020756115641,0.6654275092936803,0.6938628654539537,179,90,203,528
0.4999999999999998,0.705,0.8585526315789473,0.7140902872777017,0.7796863330843914,0.6802973977695167,0.6971938425236093,183,86,209,522
0.5099999999999998,0.7,0.8597662771285476,0.7045143638850889,0.7744360902255639,0.6877323420074349,0.6961233529462619,185,84,216,515
0.5199999999999998,0.699,0.864406779661017,0.6976744186046512,0.7721423164269493,0.7026022304832714,0.7001383245439613,189,80,221,510
0.5299999999999998,0.696,0.8687392055267703,0.6880984952120383,0.76793893129771,0.7174721189591078,0.702785307085573,193,76,228,503
0.5399999999999998,0.692,0.8743362831858407,0.6757865937072504,0.7623456790123457,0.7360594795539034,0.7059230366305769,198,71,237,494
0.5499999999999998,0.69,0.8806509945750453,0.6662106703146374,0.7585669781931464,0.7546468401486989,0.7104287552316682,203,66,244,487
0.5599999999999997,0.689,0.8832116788321168,0.6621067031463749,0.7568412822517592,0.7620817843866171,0.712094243766496,205,64,247,484
0.5699999999999997,0.686,0.8868274582560297,0.6538987688098495,0.752755905511811,0.7732342007434945,0.7135664847766721,208,61,253,478
0.5799999999999997,0.679,0.8867924528301887,0.6429548563611491,0.7454401268834259,0.7769516728624535,0.7099532646118013,209,60,261,470
